,9.58,0.04,0.71,-0.5.47,57.00,67.00,49.00,12.00,3.00
9.16,7.36,12.57,-0.75,0.49,-1.28,40.00,56.00,41.00,11.00,2.00
9.01,7.18,12.51,-0.57,0.47,-0.82,40.00,56.00,43.00,12.00,3.00
9.64,7.44,11.86,-1.76,0.91,-1.12,43.00,54.00,43.00,10.00,3.00
9.92,8.09,12.20,-0.47,4.19,1.14,40.00,56.00,42.00,11.00,2.00
8.12,6.86,15.11,3.62,-0.85,13.15,41.00,54.00,43.00,11.00,3.00
7.69,5.18,17.96,-0.09,-21.75,5.27,43.00,55.00,44.00,11.00,2.00
15.77,0.83,5.61,-25.77,-10.23,-24.06,44.00,56.00,50.00,13.00,2.00
10.82,8.55,5.16,-12.89,28.34,-25.83,46.00,58.00,51.00,13.00,2.00
3.33,10.53,12.00,13.00,32.77,4.05,47.00,63.00,54.00,10.00,3.00
-4.08,13.22,21.94,16.85,10.70,29.88,46.00,61.00,52.00,11.00,3.00
2.49,4.88,18.42,9.98,-16.19,28.82,46.00,60.00,52.00,11.00,2.00
8.47,9.00,10.22,-20.51,-32.69,-11.77,45.00,58.00,51.00,12.00,2.00
15.30,4.75,4.21,-25.34,-1.60,-30.60,50.00,62.00,54.00,11.00,2.00
5.52,7.97,10.20,-1.14,32.77,-7.68,46.00,59.00,50.00,10.00,2.00
-2.38,13.98,16.41,15.52,30.81,20.15,44.00,61.00,51.00,11.00,3.00
-1.37,7.63,19.09,12.26,-7.40,32.77,44.00,60.00,50.00,12.00,3.00
3.80,6.72,14.97,8.54,-27.18,24.92,45.00,61.00,49.00,13.00,2.00
---------END--------
